Code;Description
A065;Lungenabszess durch Amoeben
A066;Hirnabszess durch Amoeben
A067;Amoebiasis der Haut
A068;Amoebeninfektion an sonstigen Lokalisationen
A069;Amoebiasis, nicht naeher bezeichnet
A07;Sonstige Darmkrankheiten durch Protozoen
A070;Balantidiose
A071;Giardiasis [Lambliasis]
A072;Kryptosporidiose
A073;Isosporose
A078;Sonstige naeher bezeichnete Darmkrankheiten durch Protozoen
A079;Darmkrankheit durch Protozoen, nicht naeher bezeichnet
A08;Virusbedingte und sonstige naeher bezeichnete Darminfektionen
A080;Enteritis durch Rotaviren
A081;Akute Gastroenteritis durch Norovirus
A082;Enteritis durch Adenoviren
A083;Enteritis durch sonstige Viren
A084;Virusbedingte Darminfektion, nicht naeher bezeichnet
A085;Sonstige naeher bezeichnete Darminfektionen
A09;Sonstige und nicht naeher bezeichnete Gastroenteritis und Kolitis infektioesen und nicht naeher bezeichneten Ursprungs
A090;Sonstige und nicht naeher bezeichnete Gastroenteritis und Kolitis infektioesen Ursprungs
A099;Sonstige und nicht naeher bezeichnete Gastroenteritis und Kolitis nicht naeher bezeichneten Ursprungs
A15;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A150;Lungentuberkulose, durch mikroskopische Untersuchung des Sputums gesichert, mit oder ohne Nachweis durch Kultur oder molekularbiologische Verfahren
A151;Lungentuberkulose, nur durch Kultur gesichert
A152;Lungentuberkulose, histologisch gesichert
A153;Lungentuberkulose, durch sonstige und nicht naeher bezeichnete Untersuchungsverfahren gesichert
A154;Tuberkulose der intrathorakalen Lymphknoten, bakteriologisch, molekularbiologisch oder histologisch gesichert
A155;Tuberkulose des Larynx, der Trachea und der Bronchien, bakteriologisch, molekularbiologisch oder histologisch gesichert
A156;Tuberkuloese Pleuritis, bakteriologisch, molekularbiologisch oder histologisch gesichert
A157;Primaere Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A158;Sonstige Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A159;Nicht naeher bezeichnete Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A16;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert
A160;Lungentuberkulose, weder bakteriologisch, molekularbiologisch noch histologisch gesichert
A161;Lungentuberkulose, bakteriologische, molekularbiologische und histologische Untersuchung nicht durchgefuehrt
A162;Lungentuberkulose ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A163;Tuberkulose der intrathorakalen Lymphknoten ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A164;Tuberkulose des Larynx, der Trachea und der Bronchien ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A165;Tuberkuloese Pleuritis ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A167;Primaere Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A168;Sonstige Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A169;Nicht naeher bezeichnete Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung
A17;Tuberkulose des Nervensystems
A170;Tuberkuloese Meningitis
A171;Meningeales Tuberkulom
A178;Sonstige Tuberkulose des Nervensystems
A179;Tuberkulose des Nervensystems, nicht naeher bezeichnet
A18;Tuberkulose sonstiger Organe
A180;Tuberkulose der Knochen und Gelenke
A181;Tuberkulose des Urogenitalsystems
A182;Tuberkulose peripherer Lymphknoten
A183;Tuberkulose des Darmes, des Peritoneums und der Mesenteriallymphknoten
A184;Tuberkulose der Haut und des Unterhautgewebes
A185;Tuberkulose des Auges
A186;Tuberkulose des Ohres
A187;Tuberkulose der Nebennieren
A188;Tuberkulose sonstiger naeher bezeichneter Organe
A19;Miliartuberkulose
A190;Akute Miliartuberkulose einer einzelnen naeher bezeichneten Lokalisation
A191;Akute Miliartuberkulose mehrerer Lokalisationen
A192;Akute Miliartuberkulose, nicht naeher bezeichnet
A198;Sonstige Miliartuberkulose
A199;Miliartuberkulose, nicht naeher bezeichnet
A20;Pest
A200;Bubonenpest
A201;Hautpest
A202;Lungenpest
A203;Pestmeningitis
A207;Pestsepsis
A208;Sonstige Formen der Pest
A209;Pest, nicht naeher bezeichnet
A21;Tularaemie
A210;Ulzeroglandulaere Tularaemie
A211;Okuloglandulaere Tularaemie
A212;Pulmonale Tularaemie
A213;Gastrointestinale Tularaemie
A217;Generalisierte Tularaemie
A218;Sonstige Formen der Tularaemie
A219;Tularaemie, nicht naeher bezeichnet
A22;Anthrax [Milzbrand]
A220;Hautmilzbrand
A221;Lungenmilzbrand
A222;Darmmilzbrand
A227;Milzbrandsepsis
A228;Sonstige Formen des Milzbrandes
A229;Milzbrand, nicht naeher bezeichnet
A23;Brucellose
A230;Brucellose durch Brucella melitensis
A231;Brucellose durch Brucella abortus
A232;Brucellose durch Brucella suis
A233;Brucellose durch Brucella canis
A238;Sonstige Brucellose
A239;Brucellose, nicht naeher bezeichnet
A24;Rotz [Malleus] und Melioidose [Pseudorotz]
A240;Rotz
A241;Akute oder fulminante Melioidose
A242;Subakute oder chronische Melioidose
A243;Sonstige Melioidose
A244;Melioidose, nicht naeher bezeichnet
A25;Rattenbisskrankheiten
A250;Spirillen-Rattenbisskrankheit
A251;Streptobazillen-Rattenbisskrankheit
A259;Rattenbisskrankheit, nicht naeher bezeichnet
A26;Erysipeloid
A260;Haut-Erysipeloid
A267;Erysipelothrix-Sepsis
A268;Sonstige Formen des Erysipeloids
A269;Erysipeloid, nicht naeher bezeichnet
A27;Leptospirose
A270;Leptospirosis icterohaemorrhagica [Weil-Krankheit]
A278;Sonstige Formen der Leptospirose
A279;Leptospirose, nicht naeher bezeichnet
A28;Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert
A280;Pasteurellose
A281;Katzenkratzkrankheit
A282;Extraintestinale Yersiniose
A288;Sonstige naeher bezeichnete bakterielle Zoonosen, anderenorts nicht klassifiziert
A289;Bakterielle Zoonose, nicht naeher bezeichnet
A30;Lepra [Aussatz]
A300;Indeterminierte Lepra
A301;Tuberkuloide Lepra
A302;Borderline-tuberkuloide Lepra
A303;Borderline-Lepra
A304;Borderline-lepromatoese Lepra
A305;Lepromatoese Lepra
A308;Sonstige Formen der Lepra
A309;Lepra, nicht naeher bezeichnet
A31;Infektion durch sonstige Mykobakterien
A310;Infektion der Lunge durch sonstige Mykobakterien
A311;Infektion der Haut durch sonstige Mykobakterien
A318;Sonstige Infektionen durch Mykobakterien
A3180;Disseminierte atypische Mykobakteriose
A3188;Sonstige Infektionen durch Mykobakterien
A319;Infektion durch Mykobakterien, nicht naeher bezeichnet
A32;Listeriose
A320;Kutane Listeriose
A321;Meningitis und Meningoenzephalitis durch Listerien
A327;Listeriensepsis
A328;Sonstige Formen der Listeriose
A329;Listeriose, nicht naeher bezeichnet
A33;Tetanus neonatorum
A34;Tetanus waehrend der Schwangerschaft, der Geburt und des Wochenbettes
A35;Sonstiger Tetanus
A36;Diphtherie
A360;Rachendiphtherie
A361;Nasenrachendiphtherie
A362;Kehlkopfdiphtherie
A363;Hautdiphtherie
A368;Sonstige Diphtherie
A369;Diphtherie, nicht naeher bezeichnet
A37;Keuchhusten
A370;Keuchhusten durch Bordetella pertussis
A371;Keuchhusten durch Bordetella parapertussis
A378;Keuchhusten durch sonstige Bordetella-Spezies
A379;Keuchhusten, nicht naeher bezeichnet
A38;Scharlach
A39;Meningokokkeninfektion
A390;Meningokokkenmeningitis
A391;Waterhouse-Friderichsen-Syndrom
A392;Akute Meningokokkensepsis
A393;Chronische Meningokokkensepsis
A394;Meningokokkensepsis, nicht naeher bezeichnet
A395;Herzkrankheit durch Meningokokken
A398;Sonstige Meningokokkeninfektionen
A399;Meningokokkeninfektion, nicht naeher bezeichnet
A40;Streptokokkensepsis
A400;Sepsis durch Streptokokken, Gruppe A
A401;Sepsis durch Streptokokken, Gruppe B
A402;Sepsis durch Streptokokken, Gruppe D, und Enterokokken
A403;Sepsis durch Streptococcus pneumoniae
A408;Sonstige Sepsis durch Streptokokken
A409;Sepsis durch Streptokokken, nicht naeher bezeichnet
A41;Sonstige Sepsis
A410;Sepsis durch Staphylococcus aureus
A411;Sepsis durch sonstige naeher bezeichnete Staphylokokken
A412;Sepsis durch nicht naeher bezeichnete Staphylokokken
A413;Sepsis durch Haemophilus influenzae
A414;Sepsis durch Anaerobier
A415;Sepsis durch sonstige gramnegative Erreger
A4151;Sepsis: Escherichia coli [E. coli]
A4152;Sepsis: Pseudomonas
A4158;Sepsis: Sonstige gramnegative Erreger
A418;Sonstige naeher bezeichnete Sepsis
A419;Sepsis, nicht naeher bezeichnet
A42;Aktinomykose
A420;Aktinomykose der Lunge
A421;Abdominale Aktinomykose
A422;Zervikofaziale Aktinomykose
A427;Aktinomykotische Sepsis
A428;Sonstige Formen der Aktinomykose
A429;Aktinomykose, nicht naeher bezeichnet
A43;Nokardiose
A430;Pulmonale Nokardiose
A431;Nokardiose der Haut
A438;Sonstige Formen der Nokardiose
A439;Nokardiose, nicht naeher bezeichnet
A44;Bartonellose
A440;Systemische Bartonellose
A441;Kutane und mukokutane Bartonellose
A448;Sonstige Formen der Bartonellose
A449;Bartonellose, nicht naeher bezeichnet
A46;Erysipel [Wundrose]
A48;Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert
A480;Gasbrand [Gasoedem]
A481;Legionellose mit Pneumonie
A482;Legionellose ohne Pneumonie [Pontiac-Fieber]
A483;Syndrom des toxischen Schocks
A484;Brazilian purpuric fever
A488;Sonstige naeher bezeichnete bakterielle Krankheiten
A49;Bakterielle Infektion nicht naeher bezeichneter Lokalisation
A490;Staphylokokkeninfektion nicht naeher bezeichneter Lokalisation
A491;Streptokokken- und Enterokokkeninfektion nicht naeher bezeichneter Lokalisation
A492;Infektion durch Haemophilus influenzae nicht naeher bezeichneter Lokalisation
A493;Mykoplasmeninfektion nicht naeher bezeichneter Lokalisation
A498;Sonstige bakterielle Infektionen nicht naeher bezeichneter Lokalisation
A499;Bakterielle Infektion, nicht naeher bezeichnet
A50;Syphilis connata
A500;Floride konnatale Fruehsyphilis
A501;Latente konnatale Fruehsyphilis
A502;Konnatale Fruehsyphilis, nicht naeher bezeichnet
A503;Konnatale spaetsyphilitische Augenkrankheit
A504;Konnatale spaetauftretende Neurosyphilis [Juvenile Neurosyphilis]
A505;Sonstige Formen der floriden konnatalen Spaetsyphilis
A506;Latente konnatale Spaetsyphilis
A507;Konnatale Spaetsyphilis, nicht naeher bezeichnet
A509;Syphilis connata, nicht naeher bezeichnet
A51;Fruehsyphilis
A510;Primaerer syphilitischer Genitalaffekt
A511;Analer Primaeraffekt bei Syphilis
A512;Primaeraffekt bei Syphilis, sonstige Lokalisationen
A513;Sekundaere Syphilis der Haut und der Schleimhaeute
A514;Sonstige sekundaere Syphilis
A515;Latente Fruehsyphilis
A519;Fruehsyphilis, nicht naeher bezeichnet
A52;Spaetsyphilis
A520;Kardiovaskulaere Syphilis
A521;Floride Neurosyphilis
A522;Asymptomatische Neurosyphilis
A523;Neurosyphilis, nicht naeher bezeichnet
A527;Sonstige floride Spaetsyphilis
A528;Latente Spaetsyphilis
A529;Spaetsyphilis, nicht naeher bezeichnet
A53;Sonstige und nicht naeher bezeichnete Syphilis
A530;Latente Syphilis, nicht als frueh oder spaet bezeichnet
A539;Syphilis, nicht naeher bezeichnet
A54;Gonokokkeninfektion
A540;Gonokokkeninfektion des unteren Urogenitaltraktes ohne periurethralen Abszess oder Abszess der Glandulae urethrales
A541;Gonokokkeninfektion des unteren Urogenitaltraktes mit periurethralem Abszess oder Abszess der Glandulae urethrales
A542;Pelviperitonitis durch Gonokokken und Gonokokkeninfektionen sonstiger Urogenitalorgane
A543;Gonokokkeninfektion des Auges
A544;Gonokokkeninfektion des Muskel-Skelett-Systems
A545;Gonokokkenpharyngitis
A546;Gonokokkeninfektion des Anus und des Rektums
A548;Sonstige Gonokokkeninfektionen
A549;Gonokokkeninfektion, nicht naeher bezeichnet
A55;Lymphogranuloma inguinale (venereum) durch Chlamydien
A56;Sonstige durch Geschlechtsverkehr uebertragene Chlamydienkrankheiten
A560;Chlamydieninfektion des unteren Urogenitaltraktes
A561;Chlamydieninfektion des Pelviperitoneums und sonstiger Urogenitalorgane
A562;Chlamydieninfektion des Urogenitaltraktes, nicht naeher bezeichnet
A563;Chlamydieninfektion des Anus und des Rektums
A564;Chlamydieninfektion des Pharynx
A568;Durch Geschlechtsverkehr uebertragene Chlamydieninfektion an sonstigen Lokalisationen
A57;Ulcus molle (venereum)
A58;Granuloma venereum (inguinale)
A59;Trichomoniasis
A590;Trichomoniasis urogenitalis
A598;Sonstige Lokalisationen der Trichomoniasis
A599;Trichomoniasis, nicht naeher bezeichnet
A60;Infektionen des Anogenitalbereiches durch Herpesviren [Herpes simplex]
A600;Infektion der Genitalorgane und des Urogenitaltraktes durch Herpesviren
A601;Infektion der Perianalhaut und des Rektums durch Herpesviren
A609;Infektion des Anogenitalbereiches durch Herpesviren, nicht naeher bezeichnet
A63;Sonstige vorwiegend durch Geschlechtsverkehr uebertragene Krankheiten, anderenorts nicht klassifiziert
A630;Anogenitale (venerische) Warzen
A638;Sonstige naeher bezeichnete, vorwiegend durch Geschlechtsverkehr uebertragene Krankheiten
A64;Durch Geschlechtsverkehr uebertragene Krankheiten, nicht naeher bezeichnet
A65;Nichtvenerische Syphilis
A66;Framboesie
A660;Primaerlaesion bei Framboesie
A661;Multiple Papillome und Krabbenframboesie
A662;Sonstige Hautlaesionen im Fruehstadium der Framboesie
A663;Hyperkeratose bei Framboesie
A664;Gummata und Ulzera bei Framboesie
A665;Gangosa
A666;Knochen- und Gelenkveraenderungen bei Framboesie
A667;Sonstige Manifestationen bei Framboesie
A668;Latente Framboesie
A669;Framboesie, nicht naeher bezeichnet
A67;Pinta [Carate]
A670;Primaerlaesion bei Pinta
A671;Zwischenstadium der Pinta
A672;Spaetstadium der Pinta
A673;Mischformen der Pinta
A679;Pinta, nicht naeher bezeichnet
A68;Rueckfallfieber
A680;Durch Laeuse uebertragenes Rueckfallfieber
A681;Durch Zecken uebertragenes Rueckfallfieber
A689;Rueckfallfieber, nicht naeher bezeichnet
A69;Sonstige Spirochaeteninfektionen
A690;Nekrotisierend-ulzeroese Stomatitis
A691;Sonstige Fusospirochaetosen
A692;Lyme-Krankheit
A698;Sonstige naeher bezeichnete Spirochaeteninfektionen
A699;Spirochaeteninfektion, nicht naeher bezeichnet
A70;Infektionen durch Chlamydia psittaci
A71;Trachom
A710;Initialstadium des Trachoms
A711;Aktives Stadium des Trachoms
A719;Trachom, nicht naeher bezeichnet
A74;Sonstige Krankheiten durch Chlamydien
A740;Chlamydienkonjunktivitis
A748;Sonstige Chlamydienkrankheiten
A749;Chlamydieninfektion, nicht naeher bezeichnet
A75;Fleckfieber
A750;Epidemisches Fleckfieber durch Rickettsia prowazeki
A751;Fleckfieber-Spaetrezidiv [Brill-Krankheit]
A752;Fleckfieber durch Rickettsia typhi [Rickettsia mooseri]
A753;Fleckfieber durch Rickettsia tsutsugamushi [Rickettsia orientalis]
A759;Fleckfieber, nicht naeher bezeichnet
A77;Zeckenbissfieber [Rickettsiosen, durch Zecken uebertragen]
A770;Zeckenbissfieber durch Rickettsia rickettsii
A771;Zeckenbissfieber durch Rickettsia conori
A772;Zeckenbissfieber durch Rickettsia sibirica
A773;Zeckenbissfieber durch Rickettsia australis
A778;Sonstige Zeckenbissfieber
A779;Zeckenbissfieber, nicht naeher bezeichnet
A78;Q-Fieber
A79;Sonstige Rickettsiosen
A790;Wolhynisches Fieber
A791;Rickettsienpocken durch Rickettsia akari
A798;Sonstige naeher bezeichnete Rickettsiosen
A799;Rickettsiose, nicht naeher bezeichnet
A80;Akute Poliomyelitis [Spinale Kinderlaehmung]
A800;Akute paralytische Poliomyelitis durch Impfvirus
A801;Akute paralytische Poliomyelitis durch importiertes Wildvirus
A802;Akute paralytische Poliomyelitis durch einheimisches Wildvirus
A803;Sonstige und nicht naeher bezeichnete akute paralytische Poliomyelitis
A804;Akute nichtparalytische Poliomyelitis
A809;Akute Poliomyelitis, nicht naeher bezeichnet
A81;Atypische Virusinfektionen des Zentralnervensystems
A810;Creutzfeldt-Jakob-Krankheit
A811;Subakute sklerosierende Panenzephalitis
A812;Progressive multifokale Leukenzephalopathie
A818;Sonstige atypische Virusinfektionen des Zentralnervensystems
A819;Atypische Virusinfektion des Zentralnervensystems, nicht naeher bezeichnet
A82;Tollwut [Rabies]
A820;Wildtier-Tollwut
A821;Haustier-Tollwut
A829;Tollwut, nicht naeher bezeichnet
A83;Virusenzephalitis, durch Moskitos [Stechmuecken] uebertragen
A830;Japanische Enzephalitis
A831;Westliche Pferdeenzephalitis [Western-Equine-Encephalitis]
A832;oestliche Pferdeenzephalitis [Eastern-Equine-Encephalitis]
A833;St.-Louis-Enzephalitis
A834;Australische Enzephalitis
A835;Kalifornische Enzephalitis
A836;Rocio-Virusenzephalitis
A838;Sonstige Virusenzephalitis, durch Moskitos uebertragen
A839;Virusenzephalitis, durch Moskitos uebertragen, nicht naeher bezeichnet
A84;Virusenzephalitis, durch Zecken uebertragen
A840;Fernoestliche Enzephalitis, durch Zecken uebertragen [Russische Fruehsommer-Enzephalitis]
A841;Mitteleuropaeische Enzephalitis, durch Zecken uebertragen
A848;Sonstige Virusenzephalitis, durch Zecken uebertragen
A849;Virusenzephalitis, durch Zecken uebertragen, nicht naeher bezeichnet
A85;Sonstige Virusenzephalitis, anderenorts nicht klassifiziert
A850;Enzephalitis durch Enteroviren
A851;Enzephalitis durch Adenoviren
A852;Virusenzephalitis, durch Arthropoden uebertragen, nicht naeher bezeichnet
A858;Sonstige naeher bezeichnete Virusenzephalitis
A86;Virusenzephalitis, nicht naeher bezeichnet
A87;Virusmeningitis
A870;Meningitis durch Enteroviren
A871;Meningitis durch Adenoviren
A872;Lymphozytaere Choriomeningitis
A878;Sonstige Virusmeningitis
A879;Virusmeningitis, nicht naeher bezeichnet
A88;Sonstige Virusinfektionen des Zentralnervensystems, anderenorts nicht klassifiziert
A880;Fieber und Exanthem durch Enteroviren [Boston-Exanthem]
A881;Epidemischer Schwindel
A888;Sonstige naeher bezeichnete Virusinfektionen des Zentralnervensystems
A89;Virusinfektion des Zentralnervensystems, nicht naeher bezeichnet
A92;Sonstige durch Moskitos [Stechmuecken] uebertragene Viruskrankheiten
A920;Chikungunya-Viruskrankheit
A921;O'Nyong-nyong-Fieber
A922;Venezolanisches Pferdefieber
A923;West-Nil-Virusinfektion
A924;Rifttalfieber
A925;Zika-Viruskrankheit
A928;Sonstige naeher bezeichnete, durch Moskitos uebertragene Viruskrankheiten
A929;Durch Moskitos uebertragene Viruskrankheit, nicht naeher bezeichnet
A93;Sonstige durch Arthropoden uebertragene Viruskrankheiten, anderenorts nicht klassifiziert
A930;Oropouche-Viruskrankheit
A931;Pappataci-Fieber
A932;Colorado-Zeckenfieber
A938;Sonstige naeher bezeichnete, durch Arthropoden uebertragene Viruskrankheiten
A94;Durch Arthropoden uebertragene Viruskrankheit, nicht naeher bezeichnet
A95;Gelbfieber
A950;Buschgelbfieber
A951;Urbanes Gelbfieber
A959;Gelbfieber, nicht naeher bezeichnet
A96;Haemorrhagisches Fieber durch Arenaviren
A960;Haemorrhagisches Fieber durch Junin-Viren
A961;Haemorrhagisches Fieber durch Machupo-Viren
A962;Lassa-Fieber
A968;Sonstiges haemorrhagisches Fieber durch Arenaviren
A969;Haemorrhagisches Fieber durch Arenaviren, nicht naeher bezeichnet
A97;Dengue
A970;Dengue ohne Warnzeichen
A971;Dengue mit Warnzeichen
A972;Schweres Dengue
A979;Dengue, nicht naeher bezeichnet
A98;Sonstige haemorrhagische Viruskrankheiten, anderenorts nicht klassifiziert
A980;Haemorrhagisches Krim-Kongo-Fieber
A981;Haemorrhagisches Omsk-Fieber
A982;Kyasanur-Wald-Krankheit
A983;Marburg-Viruskrankheit
A984;Ebola-Viruskrankheit
A985;Haemorrhagisches Fieber mit renalem Syndrom
A988;Sonstige naeher bezeichnete haemorrhagische Viruskrankheiten
A99;Nicht naeher bezeichnete haemorrhagische Viruskrankheit
B00;Infektionen durch Herpesviren [Herpes simplex]
B000;Ekzema herpeticatum Kaposi
B001;Dermatitis vesicularis durch Herpesviren
B002;Gingivostomatitis herpetica und Pharyngotonsillitis herpetica
B003;Meningitis durch Herpesviren
B004;Enzephalitis durch Herpesviren
B005;Augenkrankheit durch Herpesviren
B007;Disseminierte Herpesvirus-Krankheit
B008;Sonstige Infektionsformen durch Herpesviren
B009;Infektion durch Herpesviren, nicht naeher bezeichnet
B01;Varizellen [Windpocken]
B010;Varizellen-Meningitis
B011;Varizellen-Enzephalitis
B012;Varizellen-Pneumonie
B018;Varizellen mit sonstigen Komplikationen
B019;Varizellen ohne Komplikation
B02;Zoster [Herpes zoster]
B020;Zoster-Enzephalitis
B021;Zoster-Meningitis
B022;Zoster mit Beteiligung anderer Abschnitte des Nervensystems
B023;Zoster ophthalmicus
B027;Zoster generalisatus
B028;Zoster mit sonstigen Komplikationen
B029;Zoster ohne Komplikation
B03;Pocken
B04;Affenpocken
B05;Masern
B050;Masern, kompliziert durch Enzephalitis
B051;Masern, kompliziert durch Meningitis
B052;Masern, kompliziert durch Pneumonie
B053;Masern, kompliziert durch Otitis media
B054;Masern mit Darmkomplikationen
B058;Masern mit sonstigen Komplikationen
B059;Masern ohne Komplikation
B06;Roeteln [Rubeola] [Rubella]
B060;Roeteln mit neurologischen Komplikationen
B068;Roeteln mit sonstigen Komplikationen
B069;Roeteln ohne Komplikation
B07;Viruswarzen
B08;Sonstige Virusinfektionen, die durch Haut- und Schleimhautlaesionen gekennzeichnet sind, anderenorts nicht klassifiziert
B080;Sonstige Infektionen durch Orthopoxviren
B081;Molluscum contagiosum
B082;Exanthema subitum [Sechste Krankheit]
B083;Erythema infectiosum [Fuenfte Krankheit]
B084;Vesikulaere Stomatitis mit Exanthem durch Enteroviren
B085;Vesikulaere Pharyngitis durch Enteroviren
B088;Sonstige naeher bezeichnete Virusinfektionen, die durch Haut- und Schleimhautlaesionen gekennzeichnet sind
B09;Nicht naeher bezeichnete Virusinfektion, die durch Haut- und Schleimhautlaesionen gekennzeichnet ist
B15;Akute Virushepatitis A
B150;Virushepatitis A mit Coma hepaticum
B159;Virushepatitis A ohne Coma hepaticum
B16;Akute Virushepatitis B
B160;Akute Virushepatitis B mit Delta-Virus (Begleitinfektion) und mit Coma hepaticum
B161;Akute Virushepatitis B mit Delta-Virus (Begleitinfektion) ohne Coma hepaticum
B162;Akute Virushepatitis B ohne Delta-Virus mit Coma hepaticum
B169;Akute Virushepatitis B ohne Delta-Virus und ohne Coma hepaticum
B17;Sonstige akute Virushepatitis
B170;Akute Delta-Virus- (Super-) Infektion eines Hepatitis-B- (Virus-) Traegers
B171;Akute Virushepatitis C
B172;Akute Virushepatitis E
B178;Sonstige naeher bezeichnete akute Virushepatitis
B179;Akute Virushepatitis, nicht naeher bezeichnet
B18;Chronische Virushepatitis
B180;Chronische Virushepatitis B mit Delta-Virus
B181;Chronische Virushepatitis B ohne Delta-Virus
B1811;Chronische Virushepatitis B ohne Delta-Virus, Phase 1
B1812;Chronische Virushepatitis B ohne Delta-Virus, Phase 2
B1813;Chronische Virushepatitis B ohne Delta-Virus, Phase 3
B1814;Chronische Virushepatitis B ohne Delta-Virus, Phase 4
B1819;Chronische Virushepatitis B ohne Delta-Virus, Phase nicht naeher bezeichnet
B182;Chronische Virushepatitis C
B188;Sonstige chronische Virushepatitis
B189;Chronische Virushepatitis, nicht naeher bezeichnet
B19;Nicht naeher bezeichnete Virushepatitis
B190;Nicht naeher bezeichnete Virushepatitis mit hepatischem Koma
B199;Nicht naeher bezeichnete Virushepatitis ohne hepatisches Koma
B20;Infektioese und parasitaere Krankheiten infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B21;Boesartige Neubildungen infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B22;Sonstige naeher bezeichnete Krankheiten infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B23;Sonstige Krankheitszustaende infolge HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B230;Akutes HIV-Infektionssyndrom
B238;Sonstige naeher bezeichnete Krankheitszustaende infolge HIV-Krankheit
B24;Nicht naeher bezeichnete HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
B25;Zytomegalie
B250;Pneumonie durch Zytomegalieviren
B251;Hepatitis durch Zytomegalieviren
B252;Pankreatitis durch Zytomegalieviren
B258;Sonstige Zytomegalie
B2580;Infektion des Verdauungstraktes durch Zytomegalieviren
B2588;Sonstige Zytomegalie
B259;Zytomegalie, nicht naeher bezeichnet
B26;Mumps
B260;Mumps-Orchitis
B261;Mumps-Meningitis
B262;Mumps-Enzephalitis
B263;Mumps-Pankreatitis
B268;Mumps mit sonstigen Komplikationen
B269;Mumps ohne Komplikation
B27;Infektioese Mononukleose
